startDate,endDate,value,duration
2018-11-10 01:30:19-05:00,2018-11-10 10:00:51-05:00,HKCategoryValueSleepAnalysisInBed,8.508888888888889
2018-11-12 01:59:40-05:00,2018-11-12 08:20:03-05:00,HKCategoryValueSleepAnalysisInBed,6.339722222222222
2018-11-13 02:41:36-05:00,2018-11-13 08:40:08-05:00,HKCategoryValueSleepAnalysisInBed,5.975555555555555
2018-11-14 01:30:00-05:00,2018-11-14 08:40:08-05:00,HKCategoryValueSleepAnalysisInBed,7.168888888888889
2018-11-14 23:58:18-05:00,2018-11-15 08:10:02-05:00,HKCategoryValueSleepAnalysisInBed,8.195555555555556
2018-11-16 03:25:35-05:00,2018-11-16 10:04:19-05:00,HKCategoryValueSleepAnalysisInBed,6.645555555555555
2018-11-17 01:31:12-05:00,2018-11-17 08:12:32-05:00,HKCategoryValueSleepAnalysisInBed,6.688888888888889
2018-11-19 03:11:12-05:00,2018-11-19 09:20:12-05:00,HKCategoryValueSleepAnalysisInBed,6.15
2018-11-19 09:20:12-05:00,2018-11-19 09:20:12-05:00,HKCategoryValueSleepAnalysisInBed,0.0
2018-11-20 09:05:32-05:00,2018-11-20 09:06:24-05:00,HKCategoryValueSleepAnalysisInBed,0.014444444444444444
2018-11-21 02:19:00-05:00,2018-11-21 09:11:54-05:00,HKCategoryValueSleepAnalysisInBed,6.881666666666667
2018-11-22 03:18:36-05:00,2018-11-22 09:12:21-05:00,HKCategoryValueSleepAnalysisInBed,5.895833333333333
2018-11-24 04:07:00-05:00,2018-11-24 07:44:40-05:00,HKCategoryValueSleepAnalysisInBed,3.6277777777777778
2018-11-24 04:07:00-05:00,2018-11-24 07:44:40-05:00,HKCategoryValueSleepAnalysisInBed,3.6277777777777778
2018-11-24 07:48:12-05:00,2018-11-24 07:48:40-05:00,HKCategoryValueSleepAnalysisInBed,0.0077777777777777776
2018-11-24 07:48:12-05:00,2018-11-24 07:48:40-05:00,HKCategoryValueSleepAnalysisInBed,0.0077777777777777776
